Sample,AgeID,ObjID,Actual Full ID,Morphotype_Name
ANT45.094.1,38.38247,obj00001,ANT45-094-15H-6W-60-63cm_obj00001,Acrodin Tip Small Spearhead Tooth
ANT46.096.1,38.5066,obj00002,ANT46-096-15H-7W-8-13cm_obj00002,Acrodin Tip Funnel 3/4 Root Flat
ANT48.099.1,38.7004,obj00001,ANT48-099-16H-1W-111-115cm_obj00001,Acrodin Tip Funnel 3/4 Root
ANT48.099.1,38.7004,obj00002,ANT48-099-16H-1W-111-115cm_obj00002,Acrodin Tip Small Cone No Blades Dome Root
ANT48.100.1,38.76373,obj00002,ANT48-100-16H-2W-11-14cm_obj00002,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT49.101.1,38.8258,obj00008,ANT49-101-16H-2W-60-63cm_obj00008,Acrodin Tip Small Spearhead Pointed Tooth
ANT50.104.1,39.01453,obj00006,ANT50-104-16H-3W-59-62cm_obj00006,Acrodin Tip Funnel 3/4 Root Flat
ANT50.104.1,39.01453,obj00008,ANT50-104-16H-3W-59-62cm_obj00008,Patrick Sans Arms Tooth Straight
ANT50.104.1,39.01453,obj00009,ANT50-104-16H-3W-59-62cm_obj00009,Acrodin Tip Long Dark Root
ANT51.105.1,39.0728,obj00001,ANT51-105-16H-3W-105-108cm_obj00001,Patrick Sans Arms Tooth Straight
ANT52.107.1,39.2058,obj00001,ANT52-107-16H-4W-60-63cm_obj00001,Acrodin Tip Small Spearhead Tooth
ANT52.108.1,39.4488,obj00001,ANT52-108-16H-4W-105-108cm_obj00001,Acrodin Tip Small Cone No Blades Dome Root
ANT54.111.1,39.82305,obj00013,ANT54-111-16H-5W-105-111cm_obj00013,Acrodin Tip Small Spearhead Tooth
ANT54.111.1,39.82305,obj00018,ANT54-111-16H-5W-105-111cm_obj00018,Acrodin Tip Small Cone No Blades Dome Root
ANT56.116.1,40.3907,obj00005,ANT56-116-17H-1W-12-15cm_obj00005,Acrodin Tip Small Spearhead Tooth
ANT56.116.1,40.3907,obj00007,ANT56-116-17H-1W-12-15cm_obj00007,Acrodin Tip Standard Root Small Cone
ANT56.116.1,40.3907,obj00008,ANT56-116-17H-1W-12-15cm_obj00008,Acrodin Tip Concave 1/2 Root Thick Blades
ANT56.116.1,40.3907,obj00009,ANT56-116-17H-1W-12-15cm_obj00009,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT57.118.1,40.58743,obj00023,ANT57-118-17H-1W-108-111cm_obj00023,Acrodin Tip Standard Root Small Cone
ANT57.118.1,40.58743,obj00024,ANT57-118-17H-1W-108-111cm_obj00024,Acrodin Tip Standard Root Small Cone
